16.0 ,16.5 ,10.5 ,15.5 ,15.5 ,15.0 ,16.0 ,16.0 ,16.0 ,10.5 ,18.5 ,17.5 ,10.5 ,2.5 ,16.5 ,16.5
15.0 ,16.0 ,10   ,14.5 ,16.5 ,12.0 ,16.0 ,16.0 ,15.5 ,10   ,15.0 ,17.5 ,10   ,4.0 ,16.5 ,16.0
13.0 ,13.0 ,10   ,13.0 ,13.0 ,11.5 ,14.0 ,14.5 ,13.5 ,10   ,13.5 ,16.5 ,10   ,4.5 ,13.5 ,12.5
14.0 ,14.5 ,8.5  ,14.0 ,14.5 ,13.5 ,15.0 ,15.0 ,15.0 ,8.5  ,15.0 ,16.5 ,8.5  ,4.0 ,15.5 ,15.0
15.0 ,16.5 ,9.5  ,14.5 ,17.0 ,13.0 ,18.0 ,17.0 ,18.5 ,9.5  ,18.0 ,14.0 ,9.5  ,1.5 ,17.5 ,17.0
15.5 ,17.0 ,11.0 ,17.0 ,17.5 ,15.5 ,17.0 ,17.5 ,19.0 ,11.0 ,20.5 ,14.0 ,11.0 ,1.0 ,17.0 ,16.0
14.5 ,16.5 ,10.5 ,17.0 ,17.0 ,14.0 ,17.0 ,17.0 ,17.5 ,10.5 ,18.0 ,14.5 ,10.5 ,2.5 ,16.0 ,16.0
14.0 ,14.5 ,8.0  ,15.0 ,15.0 ,12.0 ,14.5 ,15.0 ,15.5 ,8.0  ,15.5 ,14.5 ,8.0  ,3.5 ,14.5 ,13.5
13.5 ,14.0 ,9.0  ,14.0 ,15.0 ,12.0 ,14.5 ,14.5 ,13.5 ,9.0  ,14.5 ,17.5 ,9.0  ,2.5 ,14.0 ,13.5
12.5 ,14.0 ,10.0 ,14.5 ,14.5 ,13.0 ,14.0 ,14.0 ,13.5 ,10.0 ,14.0 ,17.5 ,10.0 ,2.0 ,14.0 ,13.5
